Active,FirstName,LastName,GenderAsString,CantonName,CantonAbbreviation,CouncilName,ParlGroupName,ParlGroupAbbreviation,PartyName,PartyAbbreviation,MaritalStatusText,BirthPlace_City,BirthPlace_Canton,Mandates,DateJoining,DateLeaving,Citizenship,DateOfBirth,DateOfDeath
FALSE,Giuseppe,a Marca,m,Grisons,GR,Conseil des Etats,Centre,MC,Conservateurs,Cons*,,,,,12/1/1849,7/1/1851,Soazza (GR),7/29/1799,7/16/1866
FALSE,Alois,Ab Yberg,m,Schwyz,SZ,Conseil national,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,12/3/1928,12/1/1935,Schwyz (SZ),10/6/1878,10/17/1959
FALSE,Fabio,Abate,m,Tessin,TI,Conseil national,Groupe radical-libéral,RL,Parti radical-démocratique suisse,PRD,marié(e),Locarno,Tessin,Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001,12/3/2007,12/4/2011,Cabbio (TI),1/4/1966,
FALSE,Fabio,Abate,m,Tessin,TI,Conseil national,Groupe radical-libéral,R,Parti radical-démocratique suisse,PRD,marié(e),Locarno,Tessin,Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001,9/25/2000,11/30/2003,Cabbio (TI),1/4/1966,
FALSE,Fabio,Abate,m,Tessin,TI,Conseil des Etats,Groupe libéral-radical,RL,PLR.Les Libéraux-Radicaux,PLR,marié(e),Locarno,Tessin,Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001,12/5/2011,11/29/2015,Cabbio (TI),1/4/1966,
TRUE,Fabio,Abate,m,Tessin,TI,Conseil des Etats,Groupe libéral-radical,RL,PLR.Les Libéraux-Radicaux,PLR,marié(e),Locarno,Tessin,Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001,11/30/2015,,Cabbio (TI),1/4/1966,
FALSE,Fabio,Abate,m,Tessin,TI,Conseil national,Groupe radical-libéral,R,Parti radical-démocratique suisse,PRD,marié(e),Locarno,Tessin,Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001,12/1/2003,12/2/2007,Cabbio (TI),1/4/1966,
FALSE,Johann Jakob,Abegg,m,Zurich,ZH,Conseil national,Groupe libéral démocrate,LD,Libéral,Lib*,,,,,12/5/1887,2/17/1912,Küsnacht (ZH),7/23/1834,2/17/1912
FALSE,Alfred,Abegg,m,Thurgovie,TG,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,,,,12/2/1963,11/28/1971,Zurich (ZH),11/18/1914,8/13/1998
FALSE,Heinrich E.,Abt,m,Argovie,AG,Conseil national,,,Parti radical-démocratique suisse,PRD,,,,,12/4/1911,11/1/1919,Bünzen (AG),6/22/1854,11/15/1937
FALSE,H. Roman,Abt,m,Argovie,AG,Conseil national,"Groupe des Paysans, Artisans et Bourgeois",BGB,"Paysans, Artisans et Bourgeois",PAB,,,,,1/1/1919,3/27/1942,Bünzen (AG),1/15/1883,3/27/1942
FALSE,H. Roman,Abt,m,Argovie,AG,Conseil national,"Groupe des Paysans, Artisans et Bourgeois",BGB,"Paysans, Artisans et Bourgeois",PAB,,,,,1/1/1919,3/27/1942,Bünzen (AG),1/15/1883,3/27/1942
