AffairShortId,AffairTitle,VoteDate,VoteMeaningYes,VoteMeaningNo
20020453,La transformation des bâtiments en zone agricole. Une compétence cantonale,Jun 17 2016,Antrag der Kommission (Abschreibung der Initiative),Antrag Page (keine Abschreibung)
20050464,Dépistage du cancer,Sep 30 2016,Antrag der Mehrheit (Abschreibung),Antrag der Minderheit Heim (Fristverlängerung)
20070402,Loi fédérale sur l'encouragement et la protection des enfants et des jeunes. Base constitutionnelle,Jun 07 2016,Antrag der Mehrheit (Nichteintreten),Antrag der Minderheit Buillard (Eintreten)
20070428,Abroger les dispositions révisées du Code pénal concernant le système des peines,Dec 01 2015,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Stamm (Folge geben)
20080432,La Suisse doit reconnaître ses enfants,Sep 30 2016,Annahme der Vorlage,Ablehnung der Vorlage
20080432,La Suisse doit reconnaître ses enfants,Sep 13 2016,Antrag der Mehrheit (festhalten),Antrag der Minderheit Addor (gemäss SR)
20080432,La Suisse doit reconnaître ses enfants,Sep 13 2016,Antrag der Mehrheit,Antrag der Minderheit Piller Carrard (streichen)
20080432,La Suisse doit reconnaître ses enfants,Sep 27 2016,Antrag der Mehrheit (gemäss Ständerat),Antrag der Minderheit Fluri (gemäss Bundesrat)
20080432,La Suisse doit reconnaître ses enfants,Sep 27 2016,Antrag der Mehrheit,Antrag der Minderheit Pantani
20080512,Abolition des peines pécuniaires et réintroduction des amendes,Dec 01 2015,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Stamm (Fole geben)
20090318,Modification du droit pénal,Mar 17 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Reimann Lukas (Folge geben)
20090530,Annulation des commandements de payer injustifiés,Dec 16 2016,Annahme der Vorlage,Ablehnung der Vorlage
20100323,LAMal. Assurance obligatoire des soins,Mar 17 2016,Antrag der Mehrheit (keine Folge fgeben),Antrag der Minderheit Heim (Folge geben)
20100407,Exonérer les enfants du paiement des primes d'assurance-maladie,Dec 14 2016,Annahme der Vorlage,Ablehnung der Vorlage
20100407,Exonérer les enfants du paiement des primes d'assurance-maladie,Mar 17 2017,Annahme der Vorlage,Ablehnung der Vorlage
20100407,Exonérer les enfants du paiement des primes d'assurance-maladie,Dec 14 2016,Antrag der Mehrheit,Antrag der Minderheit Pezzatti
20100407,Exonérer les enfants du paiement des primes d'assurance-maladie,Dec 14 2016,Antrag der Mehrheit,Antrag der Minderheit Carobbio Guscetti
20100407,Exonérer les enfants du paiement des primes d'assurance-maladie,Dec 14 2016,Antrag der Mehrheit (Eintreten),Antrag der Minderheit Brunner (Nichteintreten)
20100417,Extension des droits des lésés dans la procédure pénale militaire,Mar 10 2016,Annahme der Vorlage,Ablehnung der Vorlage
20100417,Extension des droits des lésés dans la procédure pénale militaire,Jun 17 2016,Annahme der Vorlage,Ablehnung der Vorlage
20100426,Importations de viande assaisonnée. Abolition du traitement préférentiel prévu dans le tarif douanier,Dec 18 2015,Annahme der Vorlage,Ablehnung der Vorlage
20100431,Coma éthylique. Aux personnes en cause de payer les frais des séjours hospitaliers et en cellule de dégrisement!,Dec 17 2015,Antrag der Mehrheit (= abschreiben),Antrag der Minderheit Frehner/de Courten (= nicht abschreiben)
20100519,Modifier l'article 53 CP,Dec 14 2018,Accettare il progetto,Respingere il progetto
20100519,Modifier l'article 53 CP,Sep 19 2018,Adopter le projet,Rejeter le projet
20100519,Modifier l'article 53 CP,Sep 19 2018,Proposition de la majorité (entrer en matière),Proposition de la minorité Nidegger (ne pas entrer en matière)
20100519,Modifier l'article 53 CP,Sep 19 2018,Proposition de la majorité et du CF,Proposition de la minorité Rickli Natalie (reprise par Geissbühler)
20103264,Révision de l'article 22 de la Convention de Berne,May 08 2019,Proposta della commissione (stralciare dal ruolo) ,Proposta individuale Roduit (non stralciare dal ruolo
20110418,LAMal. Accorder plus d’autonomie au personnel soignant,Apr 27 2016,Antrag der Mehrheit (Eintreten),Antrag der Minderheit de Courten (Nichteintreten)
20110449,Publication des mesures de protection des adultes,Sep 13 2016,Annahme der Vorlage,Ablehnung der Vorlage
20110449,Publication des mesures de protection des adultes,Sep 13 2016,Antrag der Mehrheit,Antrag der Minderheit Schwander
20110449,Publication des mesures de protection des adultes,Dec 16 2016,Annahme der Vorlage,Ablehnung der Vorlage
20110489,Abrogation de l’article 293 CP,Jun 16 2017,Annahme der Vorlage,Ablehnung der Vorlage
20110489,Abrogation de l’article 293 CP,Mar 15 2017,Annahme der Vorlage,Ablehnung der Vorlage
20113767,Halte aux congés et aux sorties pour les personnes internées,Jun 14 2016,Antrag der Mehrheit (=Motion ablehnen),Antrag der Minderheit Geissbühler (= abgeänderte Motion annehmen)
