CouncillorName,node_idx,CouncillorId,PartyAbbreviation,Color
Thorens Goumaz Adèle,0,3907,PES,forestgreen
Marra Ada,1,3923,PSS,r
Glauser-Zufferey Alice,2,3883,UDC,royalblue
Moser Tiana Angelina,3,3897,pvl,g
Rickli Natalie,4,3902,UDC,royalblue
Eichenberger-Walther Corina,5,3875,PLR,cyan
Estermann Yvette,6,3876,UDC,royalblue
Fiala Doris,7,3877,PLR,cyan
Flückiger-Bäni Sylvia,8,3878,UDC,royalblue
Geissbühler Andrea Martina,9,3880,UDC,royalblue
Moret Isabelle,10,1346,PLR,cyan
Carobbio Guscetti Marina,11,3830,PSS,r
Schenker Silvia,12,1129,PSS,r
Amherd Viola,13,1288,PDC,orange
Graf-Litscher Edith,14,1295,PSS,r
Glanzmann-Hunkeler Ida,15,1337,PDC,orange
Kiener Nellen Margret,16,1147,PSS,r
Markwalder Christa,17,1139,PLR,cyan
Galladé Chantal,18,1125,PSS,r
Heim Bea,19,1156,PSS,r
Graf Maya,20,806,PES,forestgreen
Humbel Ruth,21,1071,PDC,orange
Riklin Kathy,22,502,PDC,orange
Semadeni Silva,23,354,PSS,r
Leutenegger Oberholzer Susanne,24,487,PSS,r
Wasserfallen Christian,25,3912,PLR,cyan
Weibel Thomas,26,3931,pvl,g
von Siebenthal Erich,27,3910,UDC,royalblue
Lüscher Christian,28,3895,PLR,cyan
Nidegger Yves,29,3898,UDC,royalblue
Nussbaumer Eric,30,3899,PSS,r
Reimann Lukas,31,3901,UDC,royalblue
Hiltpold Hugues,32,3888,PLR,cyan
Hurter Thomas,33,3890,UDC,royalblue
Girod Bastien,34,3882,PES,forestgreen
Grin Jean-Pierre,35,3885,UDC,royalblue
Grunder Hans,36,3886,PBD,yellow
Heer Alfred,37,3887,UDC,royalblue
Aebi Andreas,38,3867,UDC,royalblue
Bourgeois Jacques,39,3872,PLR,cyan
Müller Thomas,40,1345,UDC,royalblue
Wobmann Walter,41,1142,UDC,royalblue
Nordmann Roger,42,1279,PSS,r
Rime Jean-François,43,1119,UDC,royalblue
Schwander Pirmin,44,1159,UDC,royalblue
Sommaruga Carlo,45,1120,PSS,r
Pfister Gerhard,46,1109,PDC,orange
Müller Walter,47,1137,PLR,cyan
Müri Felix,48,1111,UDC,royalblue
de Buman Dominique,49,1124,PDC,orange
Fluri Kurt,50,1122,PLR,cyan
Bäumle Martin,51,1138,pvl,g
Amstutz Adrian,52,1135,UDC,royalblue
Stahl Jürg,53,514,UDC,royalblue
Brunner Toni,54,307,UDC,royalblue
Stamm Luzi,55,214,UDC,royalblue
Giezendanner Ulrich,56,91,UDC,royalblue
Eymann Christoph,57,74,PLR,cyan
Brélaz Daniel,58,724,PES,forestgreen
Reimann Maximilian,59,173,UDC,royalblue
