CouncillorId,CouncillorName,Active,GenderAsString,CantonAbbreviation,ParlGroupAbbreviation,PartyAbbreviation,MaritalStatusText,DateJoining,DateLeaving,DateOfBirth,DateOfDeath
74,Eymann Christoph,False,m,BS,L,PLS,marié(e),11/25/1991,12/3/1995,1/15/1951,
91,Giezendanner Ulrich,False,m,AG,V,UDC,marié(e),12/3/2007,12/4/2011,10/31/1953,
173,Reimann Maximilian,False,m,AG,V,UDC,,11/30/1987,11/24/1991,5/7/1942,
214,Stamm Luzi,False,m,AG,R,PRD,marié(e),11/25/1991,12/3/1995,9/9/1952,
224,Tschäppät Alexander,False,m,BE,S,PSS,,12/5/2011,11/29/2015,4/16/1952,5/4/2018
307,Brunner Toni,False,m,SG,V,UDC,célibataire,12/3/2007,12/4/2011,8/23/1974,
354,Semadeni Silva,False,f,GR,S,PSS,,12/5/2011,11/29/2015,2/8/1952,
487,Leutenegger Oberholzer Susanne,False,f,BL,S,PSS,,12/6/1999,11/30/2003,3/6/1948,
502,Riklin Kathy,False,f,ZH,C,PDC,,12/6/1999,11/30/2003,10/21/1952,
514,Stahl Jürg,False,m,ZH,V,UDC,,12/6/1999,11/30/2003,1/16/1968,
519,Walter Hansjörg,False,m,TG,V,UDC,,12/6/1999,11/30/2003,2/5/1951,
724,Brélaz Daniel,False,m,VD,-,PES,marié(e),11/26/1979,12/15/1989,1/4/1950,
806,Graf Maya,False,f,BL,G,PES,marié(e),12/1/2003,12/2/2007,2/28/1962,
1071,Humbel Ruth,False,f,AG,C,PDC,marié(e),12/1/2003,12/2/2007,7/23/1957,
1104,Büchler Jakob,False,m,SG,CEg,PDC,,12/3/2007,12/4/2011,5/29/1952,
1108,Parmelin Guy,False,m,VD,V,UDC,,12/3/2007,12/4/2011,11/9/1959,
1109,Pfister Gerhard,False,m,ZG,CEg,PDC,marié(e),12/3/2007,12/4/2011,10/1/1962,
1111,Müri Felix,False,m,LU,V,UDC,marié(e),12/1/2003,12/2/2007,1/22/1958,
1119,Rime Jean-François,False,m,FR,V,UDC,marié(e),12/5/2011,11/29/2015,6/28/1950,
1120,Sommaruga Carlo,False,m,GE,S,PSS,,12/1/2003,12/2/2007,7/8/1959,
1122,Fluri Kurt,False,m,SO,RL,PLR,marié(e),12/5/2011,11/29/2015,8/19/1955,
1124,de Buman Dominique,False,m,FR,C,PDC,,12/1/2003,12/2/2007,4/28/1956,
1125,Galladé Chantal,False,f,ZH,S,PSS,,12/3/2007,12/4/2011,12/17/1972,
1129,Schenker Silvia,False,f,BS,S,PSS,divorcé(e),12/3/2007,12/4/2011,1/17/1954,
1131,Allemann Evi,False,f,BE,S,PSS,,12/3/2007,12/4/2011,7/16/1978,
1135,Amstutz Adrian,False,m,BE,V,UDC,marié(e),12/3/2007,5/29/2011,12/2/1953,
1137,Müller Walter,False,m,SG,RL,PRD,marié(e),12/3/2007,12/4/2011,4/25/1948,
1138,Bäumle Martin,False,m,ZH,CEg,pvl,,12/3/2007,12/4/2011,6/3/1964,
1139,Markwalder Christa,False,f,BE,RL,PLR,,12/5/2011,11/29/2015,7/27/1975,
1142,Wobmann Walter,False,m,SO,V,UDC,,12/5/2011,11/29/2015,11/21/1957,
1147,Kiener Nellen Margret,False,f,BE,S,PSS,marié(e),12/3/2007,12/4/2011,4/17/1953,
1153,Noser Ruedi,False,m,ZH,RL,PRD,,12/3/2007,12/4/2011,4/14/1961,
1156,Heim Bea,False,f,SO,S,PSS,marié(e),12/5/2011,11/29/2015,4/7/1946,
1159,Schwander Pirmin,False,m,SZ,V,UDC,,12/1/2003,12/2/2007,12/28/1961,
1279,Nordmann Roger,False,m,VD,S,PSS,marié(e),11/30/2004,12/2/2007,3/23/1973,
1288,Amherd Viola,False,f,VS,C,PDC,,5/31/2005,12/2/2007,6/7/1962,
1295,Graf-Litscher Edith,False,f,TG,S,PSS,marié(e),12/3/2007,12/4/2011,3/25/1964,
1318,Schelbert Louis,False,m,LU,G,PES,,3/6/2006,12/2/2007,10/31/1952,
1337,Glanzmann-Hunkeler Ida,False,f,LU,CEg,PDC,marié(e),12/3/2007,12/4/2011,9/29/1958,
1345,Müller Thomas,False,m,SG,CEg,PDC,marié(e),12/3/2007,12/4/2011,12/1/1952,
1346,Moret Isabelle,False,f,VD,RL,PRD,,12/3/2007,12/4/2011,12/30/1970,
3828,Cassis Ignazio,False,m,TI,RL,PRD,,6/4/2007,12/2/2007,4/13/1961,
3830,Carobbio Guscetti Marina,False,f,TI,S,PSS,marié(e),12/3/2007,12/4/2011,6/12/1966,
3865,Steiert Jean-François,False,m,FR,S,PSS,,12/3/2007,12/4/2011,2/7/1961,
3867,Aebi Andreas,False,m,BE,V,UDC,marié(e),12/3/2007,12/4/2011,11/26/1958,
3872,Bourgeois Jacques,False,m,FR,RL,PLR,,12/5/2011,11/29/2015,3/14/1958,
3875,Eichenberger-Walther Corina,False,f,AG,RL,PLR,,12/5/2011,11/29/2015,10/14/1954,
3876,Estermann Yvette,False,f,LU,V,UDC,marié(e),12/5/2011,11/29/2015,2/26/1967,
3877,Fiala Doris,False,f,ZH,RL,PRD,marié(e),12/3/2007,12/4/2011,1/29/1957,
3878,Flückiger-Bäni Sylvia,False,f,AG,V,UDC,marié(e),12/3/2007,12/4/2011,6/1/1952,
3880,Geissbühler Andrea Martina,False,f,BE,V,UDC,marié(e),12/5/2011,11/29/2015,8/3/1976,
3882,Girod Bastien,False,m,ZH,G,PES,marié(e),12/3/2007,12/4/2011,12/21/1980,
3883,Glauser-Zufferey Alice,True,f,VD,V,UDC,marié(e),2/29/2016,,10/18/1954,
3885,Grin Jean-Pierre,False,m,VD,V,UDC,marié(e),12/3/2007,12/4/2011,3/16/1947,
3886,Grunder Hans,False,m,BE,BD,PBD,marié(e),12/5/2011,11/29/2015,6/13/1956,
3887,Heer Alfred,False,m,ZH,V,UDC,,12/3/2007,12/4/2011,10/12/1961,
3888,Hiltpold Hugues,False,m,GE,RL,PRD,,12/3/2007,12/4/2011,5/5/1969,
3890,Hurter Thomas,False,m,SH,V,UDC,marié(e),12/5/2011,11/29/2015,11/1/1963,
3891,Jositsch Daniel,False,m,ZH,S,PSS,,12/3/2007,12/4/2011,3/25/1965,
3895,Lüscher Christian,False,m,GE,RL,PLS,,12/3/2007,12/4/2011,12/6/1963,
3897,Moser Tiana Angelina,False,f,ZH,CEg,pvl,,12/3/2007,12/4/2011,4/6/1979,
3898,Nidegger Yves,False,m,GE,V,UDC,,12/5/2011,11/29/2015,5/17/1957,
3899,Nussbaumer Eric,False,m,BL,S,PSS,marié(e),12/5/2011,11/29/2015,7/11/1960,
3901,Reimann Lukas,False,m,SG,V,UDC,,12/5/2011,11/29/2015,9/18/1982,
3902,Rickli Natalie,False,f,ZH,V,UDC,,12/3/2007,12/4/2011,11/19/1976,
3904,Schmid-Federer Barbara,False,f,ZH,CEg,PDC,,12/3/2007,12/4/2011,11/10/1965,
3905,Schmidt Roberto,False,m,VS,C,PDC,,11/30/2015,6/14/2017,7/16/1962,
3907,Thorens Goumaz Adèle,False,f,VD,G,PES,marié(e),12/3/2007,12/4/2011,12/15/1971,
3910,von Siebenthal Erich,False,m,BE,V,UDC,marié(e),12/3/2007,12/4/2011,12/30/1958,
3912,Wasserfallen Christian,False,m,BE,RL,PLR,,12/5/2011,11/29/2015,6/30/1981,
3923,Marra Ada,False,f,VD,S,PSS,,12/3/2007,12/4/2011,3/10/1973,
3931,Weibel Thomas,False,m,ZH,GL,pvl,marié(e),12/5/2011,11/29/2015,7/14/1954,
4008,Landolt Martin,False,m,GL,BD,PBD,,3/2/2009,12/4/2011,6/30/1968,
4018,Maire Jacques-André,False,m,NE,S,PSS,marié(e),12/5/2011,11/29/2015,5/27/1957,
4025,Büchel Roland Rino,False,m,SG,V,UDC,célibataire,12/5/2011,11/29/2015,10/8/1965,
4030,Birrer-Heimo Prisca,False,f,LU,S,PSS,marié(e),5/31/2010,12/4/2011,2/4/1959,
4031,Ingold Maja,False,f,ZH,CEg,PEV,,5/31/2010,12/4/2011,5/23/1948,
4032,Jans Beat,False,m,BS,S,PSS,marié(e),5/31/2010,12/4/2011,7/12/1964,
4036,Streiff-Feller Marianne,False,f,BE,CE,PEV,marié(e),12/5/2011,11/29/2015,8/17/1957,
4040,Schneider-Schneiter Elisabeth,False,f,BL,CE,PDC,marié(e),12/5/2011,11/29/2015,2/19/1964,
4042,Frehner Sebastian,False,m,BS,V,UDC,marié(e),11/29/2010,12/4/2011,9/2/1973,
4045,Pardini Corrado,False,m,BE,S,PSS,marié(e),5/30/2011,12/4/2011,6/19/1965,
4046,Quadri Lorenzo,False,m,TI,V,Lega,célibataire,5/30/2011,12/4/2011,11/5/1974,
4049,Aebischer Matthias,False,m,BE,S,PSS,,12/5/2011,11/29/2015,10/18/1967,
4051,de Courten Thomas,False,m,BL,V,UDC,,12/5/2011,11/29/2015,7/29/1966,
4052,Ritter Markus,False,m,SG,CE,PDC,marié(e),12/5/2011,11/29/2015,4/19/1967,
4053,Aeschi Thomas,False,m,ZG,V,UDC,,12/5/2011,11/29/2015,1/13/1979,
4054,Vitali Albert,False,m,LU,RL,PLR,marié(e),12/5/2011,11/29/2015,6/26/1955,
4056,Fässler Daniel,False,m,AI,CE,PDC,marié(e),12/5/2011,11/29/2015,8/22/1960,
4057,Wermuth Cédric,False,m,AG,S,PSS,marié(e),12/5/2011,11/29/2015,2/19/1986,
4058,Badran Jacqueline,False,f,ZH,S,PSS,marié(e),12/5/2011,11/29/2015,11/12/1961,
4059,Flach Beat,False,m,AG,GL,pvl,marié(e),12/5/2011,11/29/2015,1/21/1965,
4060,Schneeberger Daniela,False,f,BL,RL,PLR,,12/5/2011,11/29/2015,9/19/1967,
4061,Hardegger Thomas,False,m,ZH,S,PSS,,12/5/2011,11/29/2015,4/2/1956,
4063,Müller-Altermatt Stefan,False,m,SO,CE,PDC,marié(e),12/5/2011,11/29/2015,6/17/1976,
4065,Pieren Nadja,False,f,BE,V,UDC,célibataire,12/5/2011,11/29/2015,2/14/1980,
